section,module,question,skill
RW,1,1,
RW,1,2,
RW,1,3,
RW,1,4,
RW,1,5,
RW,1,6,
RW,1,7,
RW,1,8,
RW,1,9,
RW,1,10,
RW,1,11,
RW,1,12,
RW,1,13,
RW,1,14,
RW,1,15,
RW,1,16,
RW,1,17,
RW,1,18,
RW,1,19,
RW,1,20,
RW,1,21,
RW,1,22,
RW,1,23,
RW,1,24,
RW,1,25,
RW,1,26,
RW,1,27,
RW,2,1,
RW,2,2,
RW,2,3,
RW,2,4,
RW,2,5,
RW,2,6,
RW,2,7,
RW,2,8,
RW,2,9,
RW,2,10,
RW,2,11,
RW,2,12,
RW,2,13,
RW,2,14,
RW,2,15,
RW,2,16,
RW,2,17,
RW,2,18,
RW,2,19,
RW,2,20,
RW,2,21,
RW,2,22,
RW,2,23,
RW,2,24,
RW,2,25,
RW,2,26,
RW,2,27,
Math,1,1,
Math,1,2,
Math,1,3,
Math,1,4,
Math,1,5,
Math,1,6,
Math,1,7,
Math,1,8,
Math,1,9,
Math,1,10,
Math,1,11,
Math,1,12,
Math,1,13,
Math,1,14,
Math,1,15,
Math,1,16,
Math,1,17,
Math,1,18,
Math,1,19,
Math,1,20,
Math,1,21,
Math,1,22,
Math,2,1,
Math,2,2,
Math,2,3,
Math,2,4,
Math,2,5,
Math,2,6,
Math,2,7,
Math,2,8,
Math,2,9,
Math,2,10,
Math,2,11,
Math,2,12,
Math,2,13,
Math,2,14,
Math,2,15,
Math,2,16,
Math,2,17,
Math,2,18,
Math,2,19,
Math,2,20,
Math,2,21,
Math,2,22,
